Object Full Name,Diameter (km),Albedo,Rotation Period (hrs),Absolute Magnitude Parameter,Epoch of Oscillation in Julian Day Form,Eccentricity,Semi-Major Axis (au),Perihelion Distance (au),Inclination (degrees),Longitude of Ascending Node (deg),Argument of Perihelion (deg),Mean Anomaly (deg),Aphelion distance (au),Mean motion (deg/day),Earth Minimum Orbit Intersection Distance (au),Potentially Hazardous Asteroid
350462 (1998 KG3),,,13.335,22.13,2459800.5,0.1175,1.16,1.023,5.51,207.87,267.9,240.58,1.3,0.7891,0.0975,0
350513 (2000 BG19),1.77,0.043,,18.07,2459800.5,0.5604,2.659,1.169,12.57,147.52,79.67,40.61,4.15,0.2273,0.28,0
350536 (2000 QY69),,,,20.02,2459800.5,0.1638,1.426,1.193,25.2,341.97,65.04,264.39,1.66,0.5785,0.276,0
350713 (2001 XP88),,,,20.75,2459800.5,0.1946,1.347,1.085,6.75,97.79,261.37,141.58,1.61,0.6303,0.138,0
350872 (2002 PG43),,,,18.39,2459800.5,0.4022,2.174,1.3,6.92,346.93,5.54,77.63,3.05,0.3075,0.294,0
350964 (2003 BT35),,,,18.8,2459800.5,0.1713,1.395,1.156,57.26,122.57,41.61,273.7,1.63,0.5985,0.215,0
350988 (2003 GW),,,9.58,16.84,2459800.5,0.476,1.821,0.954,49.44,183.18,90.63,260.53,2.69,0.4012,0.325,0
351278 (2004 SB20),,,,18.92,2459800.5,0.4132,1.183,0.694,30.27,30.91,209.38,45.69,1.67,0.7661,0.268,0
351331 (2004 XH29),,,,18.95,2459800.5,0.5033,1.381,0.686,22.63,232.05,334.08,250.11,2.08,0.6073,0.273,0
351340 (2004 YC5),,,,18.17,2459800.5,0.6174,1.93,0.738,11.4,334.58,27.14,232.29,3.12,0.3677,0.137,0
351370 (2005 EY),,,,17.24,2459800.5,0.8908,2.516,0.275,17.23,62.4,185.75,114.98,4.76,0.247,0.234,0
351508 (2005 RN33),,,,19.77,2459800.5,0.2564,1.734,1.289,7.19,100.67,300.19,123.09,2.18,0.4317,0.322,0
351545 (2005 TE15),,,,19.83,2459800.5,0.3435,1.205,0.791,13.13,10.87,241.14,337.55,1.62,0.7455,0.0542,0
351815 (2006 OF15),,,,18.39,2459800.5,0.3544,2.009,1.297,23.19,122.5,246.22,207.89,2.72,0.3462,0.423,0
352143 (2007 LR32),,,2.4162,17.22,2459800.5,0.5171,2.624,1.267,10.18,266.63,71.9,185.89,3.98,0.2318,0.317,0
353190 (2009 ST),,,,19.84,2459800.5,0.3691,1.955,1.234,10.9,189.15,270.06,194.05,2.68,0.3604,0.327,0
353938 (1998 QR15),,,2.454,18.21,2459800.5,0.5591,2.768,1.22,9.46,320.15,56.93,64.22,4.31,0.2141,0.262,0
353947 (1999 CT8),,,,18.78,2459800.5,0.3941,1.25,0.757,44.5,337.13,40.05,7.44,1.74,0.7056,0.193,0
354030 (2001 RB18),,,26.755,18.62,2459800.5,0.5394,2.348,1.081,4.18,198.25,175.34,284.46,3.61,0.2739,0.0825,0
354101 (2001 YF1),,,,19.29,2459800.5,0.3393,1.486,0.982,20.02,279.46,289.86,63.04,1.99,0.5442,0.125,0
354127 (2002 BP26),,,,19.3,2459800.5,0.3946,1.697,1.027,30.26,347.35,202.74,80.3,2.37,0.446,0.0572,0
354332 (2003 AD1),,,,18.29,2459800.5,0.3233,1.819,1.231,27.12,117.5,44.9,321,2.41,0.4017,0.316,0
354663 (2005 LY19),,,,16.29,2459800.5,0.2396,1.602,1.218,30.01,338.42,120.25,332.95,1.99,0.4861,0.335,0
354713 (2005 SG19),,,,16.8,2459800.5,0.5888,2.625,1.079,24.9,13.02,249.35,35.6,4.17,0.2317,0.281,0
354876 (2006 BG55),,,,18.48,2459800.5,0.5983,1.47,0.591,12.45,140.91,167.67,328.23,2.35,0.5528,0.207,0
354952 (2006 FJ9),,,8,19.23,2459800.5,0.3452,1.749,1.145,4.12,166.4,101.65,338.64,2.35,0.4261,0.15,0
355046 (2006 SO19),,,,19.61,2459800.5,0.272,1.242,0.904,14.25,98.32,169.75,226.01,1.58,0.7118,0.107,0
355256 (2007 KN4),,,7.152,16.78,2459800.5,0.6304,3.345,1.236,12.52,232.41,51.28,180.24,5.45,0.1611,0.277,0
355770 (2008 RE80),1.199,0.054,,18.39,2459800.5,0.2461,1.482,1.117,16.6,182.01,26.16,31.57,1.85,0.5465,0.137,0
356285 (2010 DE),,,,17.36,2459800.5,0.3961,2.114,1.277,24,176.86,277.21,81.37,2.95,0.3207,0.501,0
356394 (2010 QD2),1.071,0.152,,17.46,2459800.5,0.7853,2.01,0.431,10.64,120.65,125.89,95.53,3.59,0.3459,0.0609,0
357005 (1999 HA2),,,,17.99,2459800.5,0.702,2.782,0.829,15.2,147.21,344.47,13.99,4.74,0.2124,0.126,0
357058 (2001 OG25),,,,20.13,2459800.5,0.2494,1.437,1.078,10.69,153.66,142.63,76.94,1.79,0.5723,0.0956,0
357311 (2003 DC14),,,,16.7,2459800.5,0.5598,2.895,1.274,12.82,49.85,10.1,25.68,4.52,0.2001,0.289,0
357414 (2003 XE),,,,18.41,2459800.5,0.3535,1.712,1.107,26.93,90.54,17.48,118.77,2.32,0.44,0.136,0
357618 (2005 EM30),,,,19.07,2459800.5,0.3367,1.203,0.798,53.08,1.8,293.07,321.85,1.61,0.7467,0.0567,0
357621 (2005 EG94),,,,18.77,2459800.5,0.465,1.605,0.859,10.74,332.03,38.39,349.58,2.35,0.4849,0.0562,0
358453 (2007 EH88),,,,19.87,2459800.5,0.4412,1.123,0.627,12.09,3.79,324.32,200.64,1.62,0.8286,0.134,0
359242 (2009 FT),,,,19.02,2459800.5,0.7241,1.572,0.434,14.56,90.67,220.65,244.24,2.71,0.5003,0.122,0
359592 (2010 VA1),,,,20.04,2459800.5,0.2323,1.348,1.035,11.75,207.13,54.85,305.48,1.66,0.63,0.0927,0
360192 (1991 FB),,,,19.16,2459800.5,0.5697,2.364,1.017,9.04,17.94,220.02,201.51,3.71,0.2711,0.0633,0
360433 (2002 JR9),,,8.452,17.79,2459800.5,0.6358,2.39,0.87,9.8,122.51,204.33,151.59,3.91,0.2668,0.0693,0
360502 (2003 EO16),,,,20.65,2459800.5,0.2495,0.9343,0.701,13.23,177.91,167.93,3.13,1.17,1.091,0.137,0
361071 (2006 AO4),,,4.093,15.54,2459800.5,0.586,2.624,1.087,24.38,318.45,50.43,32.08,4.16,0.2318,0.194,0
361123 (2006 GW2),,,,20.25,2459800.5,0.1908,1.448,1.172,9.42,135.98,114.97,100.82,1.72,0.5655,0.208,0
361518 (2007 FD),,,,17.14,2459800.5,0.6019,2.06,0.82,6.95,222.48,183.54,156.05,3.3,0.3333,0.0982,0
361532 (2007 HF44),,,,19.31,2459800.5,0.315,1.6,1.096,2.99,116.37,314.1,320.77,2.1,0.4868,0.118,0
361538 (2007 JZ20),0.479,0.313,,18.63,2459800.5,0.3352,1.311,0.872,40.48,200.48,139.04,350.22,1.75,0.6565,0.0656,0
361611 (2007 TY18),,,,18.31,2459800.5,0.4081,2.155,1.276,8.06,6.07,301.86,291.55,3.03,0.3115,0.292,0
361689 (2007 VY7),,,,19.41,2459800.5,0.503,1.816,0.902,6.36,108.02,9.64,344.01,2.73,0.4029,0.0512,0
361861 (2008 ED69),,,,16.97,2459800.5,0.7395,2.912,0.759,36.35,149.52,173.28,305.85,5.07,0.1984,0.249,0
362310 (2009 UM3),,,,18.01,2459800.5,0.7863,2.438,0.521,12.74,162.4,128.82,149.29,4.36,0.2589,0.121,0
363069 (2000 EV106),,,,19.66,2459800.5,0.3488,1.649,1.074,33.47,170.85,255.33,275.43,2.22,0.4656,0.28,0
363071 (2000 GD147),,,,20.24,2459800.5,0.5496,1.895,0.853,7.09,357.4,182.38,207.85,2.94,0.378,0.0872,0
363075 (2000 OG8),,,4.0734,17.84,2459800.5,0.5478,2.659,1.202,5.27,295.17,71.7,6.38,4.12,0.2273,0.222,0
363076 (2000 PH6),,,,18.24,2459800.5,0.5195,2.684,1.29,10.51,152.34,219.66,340.84,4.08,0.2241,0.311,0
363163 (2001 SE286),,,9.323,17.82,2459800.5,0.4555,2.037,1.109,26.76,268.45,199.4,31.69,2.96,0.3391,0.143,0
363267 (2002 GS),,,,20.01,2459800.5,0.4036,1.353,0.807,19.76,34.72,264.19,277.02,1.9,0.6265,0.053,0
363298 (2002 KL3),,,,18.52,2459800.5,0.7485,1.952,0.491,20.76,73.15,293.37,114.42,3.41,0.3614,0.0672,0
363617 (2004 KK17),,,,18.41,2459800.5,0.5758,1.467,0.622,41.53,103.66,31.57,128.95,2.31,0.5549,0.312,0
363626 (2004 RA11),0.633,0.135,,18.91,2459800.5,0.3991,1.824,1.096,39.36,169.72,276.43,48.12,2.55,0.4,0.397,0
363814 (2005 ND7),1.105,0.1,6.6,18.04,2459800.5,0.4827,1.964,1.016,52.58,110.08,241.48,52.53,2.91,0.3581,0.189,0
364762 (2007 XC10),1.047,0.028,,19.38,2459800.5,0.226,1.619,1.253,47.93,254.03,112.51,90.45,1.99,0.4783,0.411,0
364877 (2008 EM9),0.786,0.317,43.6586,17.29,2459800.5,0.8524,1.959,0.289,9.44,229.68,181.77,113.74,3.63,0.3594,0.135,0
365246 (2009 NE),,,,15.95,2459800.5,0.8646,2.676,0.362,35.02,230.42,198.87,334.82,4.99,0.2252,0.441,0
365449 (2010 NJ1),0.215,0.264,,20.28,2459800.5,0.5405,0.9684,0.445,11.22,128.25,358.57,327.77,1.49,1.034,0.155,0
366470 (2002 FD),,,,19.57,2459800.5,0.2821,1.424,1.022,22.81,182.17,267.2,59.32,1.83,0.5802,0.234,0
366615 (2003 LO6),,,,16.85,2459800.5,0.5753,2.912,1.236,34.56,254.3,6.5,319.77,4.59,0.1984,0.224,0
366733 (2004 BG121),,,5.625,19.07,2459800.5,0.3427,1.612,1.06,19.43,128.64,206.85,153.27,2.16,0.4815,0.071,0
366833 (2005 MC),,,,16.73,2459800.5,0.5922,2.617,1.067,27.28,287.33,124.95,6.05,4.17,0.2328,0.226,0
367390 (2008 MB5),,,,19.25,2459800.5,0.3638,1.428,0.908,20.41,115.2,278.62,33.36,1.95,0.5778,0.136,0
367525 (2009 QZ6),,,,17.83,2459800.5,0.2332,1.595,1.223,18.91,281.76,304.64,250.62,1.97,0.4891,0.281,0
367638 (2009 WR6),,,,18.39,2459800.5,0.2772,1.664,1.202,26.5,284.85,114.8,0.94,2.12,0.4593,0.347,0
367684 (2010 OS22),0.498,0.412,,18.06,2459800.5,0.6885,1.637,0.51,9.36,256.91,179.64,242.18,2.76,0.4707,0.159,0
367943 Duende (2012 DA14),,,8.724,24.19,2459800.5,0.0893,0.9102,0.829,11.61,146.93,195.56,129.74,0.99,1.135,0.00141,0
368184 (2000 RN77),0.381,0.193,,19.47,2459800.5,0.3182,0.951,0.648,16.1,312.71,211.72,58.84,1.25,1.063,0.107,0
368664 (2005 JA22),,,31.7,18.73,2459800.5,0.2987,1.535,1.076,13.24,166.32,252.24,208.75,1.99,0.5184,0.191,0
368790 (2005 XK8),,,,19.88,2459800.5,0.2538,1.611,1.202,25.46,277.76,173.52,50.55,2.02,0.4819,0.222,0
368949 (2006 YN),,,,19.72,2459800.5,0.2248,1.477,1.145,15.28,106.27,307.85,280.21,1.81,0.5489,0.218,0
369296 (2009 SU19),,,,18.08,2459800.5,0.9002,2.078,0.207,14.62,172.65,342.63,43.97,3.95,0.3289,0.127,0
369452 (2010 LG14),,,,17.92,2459800.5,0.7426,1.045,0.269,34.2,271.28,182.85,96.82,1.82,0.9223,0.369,0
369454 (2010 NZ1),0.846,0.036,,19.15,2459800.5,0.6468,1.373,0.485,32.77,159.01,37.85,248.75,2.26,0.6126,0.274,0
369983 (1998 QB28),,,,20.13,2459800.5,0.3791,2.075,1.288,1.08,341.52,298.1,35.04,2.86,0.3298,0.272,0
369984 (1998 QR52),,,234,18.96,2459800.5,0.2878,1.044,0.743,17.64,316.21,204.34,349.3,1.34,0.9246,0.21,0
369986 (1998 SO),,,,20.53,2459800.5,0.6986,0.7315,0.22,30.35,176.14,359.86,257.05,1.24,1.575,0.199,0
370037 (2000 SV20),,,,19.4,2459800.5,0.3193,1.683,1.145,26.25,0.47,42.73,345.78,2.22,0.4515,0.207,0
370061 (2000 YO29),,,,17.84,2459800.5,0.6935,1.815,0.556,54.61,262.63,309.32,264.16,3.07,0.4031,0.335,0
370307 (2002 RH52),,,4.218,16.98,2459800.5,0.4907,1.98,1.008,16.19,2.18,96.75,9.46,2.95,0.3538,0.223,0
370688 (2004 GD28),,,,17.38,2459800.5,0.5623,2.667,1.167,25.04,219.21,92.67,38.28,4.17,0.2263,0.446,0
370702 (2004 NC9),,,7.526,17.5,2459800.5,0.5576,2.694,1.192,23.92,335.24,259.24,61.03,4.2,0.2229,0.422,0
371336 (2006 KD1),1.137,0.18,,17.38,2459800.5,0.785,2.481,0.533,30.78,168.93,338.26,66.85,4.43,0.2523,0.413,0
371973 (2008 GE1),,,,19.56,2459800.5,0.2477,1.651,1.242,6.72,129.69,312.95,9.32,2.06,0.4644,0.275,0
373393 (1972 RB),,,,19.18,2459800.5,0.4878,2.147,1.1,5.25,177.07,153.05,313.39,3.19,0.3133,0.0979,0
373428 (1999 TC5),,,3.453,18.57,2459800.5,0.5462,2.017,0.915,29.13,192.31,282.72,319.94,3.12,0.3442,0.189,0
373503 (2001 CK42),,,,20.17,2459800.5,0.2809,1.421,1.022,10.27,5.98,220.06,195.07,1.82,0.582,0.0615,0
373579 (2002 AW11),,,,19.15,2459800.5,0.3307,1.447,0.968,18.33,95.53,91.19,267.64,1.93,0.5663,0.179,0
374188 (2005 AD3),,,,17.42,2459800.5,0.5052,2.401,1.188,14.56,293.93,277.82,212.81,3.61,0.265,0.32,0
374267 (2005 LW),,,,18.95,2459800.5,0.6405,1.468,0.528,3.13,138.09,354.8,274.33,2.41,0.5544,0.052,0
374449 (2005 XD1),0.414,0.179,,19.4,2459800.5,0.3065,1.621,1.124,18.28,287.35,198.78,11.74,2.12,0.4778,0.152,0
375505 (2008 UN90),,,,20.14,2459800.5,0.1256,1.404,1.228,17.55,33.5,313.13,130.75,1.58,0.5922,0.266,0
375657 (2009 CP5),,,,21.49,2459800.5,0.3143,1.225,0.84,13.12,330.25,268.41,275.75,1.61,0.7266,0.0579,0
376707 (1995 OO),,,,16.97,2459800.5,0.7784,2.156,0.478,23.53,348.81,212,248.9,3.83,0.3113,0.29,0
376729 (1998 YB8),,,,19.08,2459800.5,0.4693,2.42,1.284,8.92,106.44,343.66,97.85,3.56,0.2618,0.305,0
376775 (2000 HW23),,,,18.38,2459800.5,0.4224,2.155,1.245,7.75,46.36,245.16,339.67,3.07,0.3115,0.265,0
376778 (2000 JY8),,,,17.12,2459800.5,0.6107,2.771,1.079,16.48,108.63,41.8,309.29,4.46,0.2136,0.161,0
376788 (2000 RV37),,,,19.55,2459800.5,0.4961,1.041,0.524,16.33,330.33,210.96,11.2,1.56,0.9281,0.142,0
376848 (2001 RY47),,,,19.61,2459800.5,0.3929,0.9064,0.55,17.61,11.2,214.06,182.04,1.26,1.142,0.082,0
376864 (2001 TP103),,,,20.01,2459800.5,0.3598,1.801,1.153,4.74,224.14,243.17,175.16,2.45,0.408,0.187,0
376879 (2001 WW1),,,,22.35,2459800.5,0.1216,1.21,1.063,21.74,59.79,46.02,162.89,1.36,0.7407,0.11,0
376883 (2001 XE1),,,,19.45,2459800.5,0.211,1.604,1.265,20.95,231.08,273.16,14.02,1.94,0.4854,0.427,0
377972 (2006 MF10),,,,19.38,2459800.5,0.4223,2.222,1.283,3.05,196.63,64.46,322.2,3.16,0.2976,0.274,0
378124 (2006 VT2),,,,18.25,2459800.5,0.7231,1.263,0.35,31.82,59.45,152.62,305.74,2.18,0.6947,0.249,0
378526 (2007 VH186),,,,20.31,2459800.5,0.1968,1.574,1.264,19.24,51.45,15.27,148.01,1.88,0.4991,0.282,0
378610 (2008 FT6),,,112,17.43,2459800.5,0.4262,2.138,1.227,13.58,41.91,52.17,279.19,3.05,0.3152,0.299,0
378842 (2008 TD4),,,,19.78,2459800.5,0.6172,1.822,0.697,14.46,221.88,54.9,253.17,2.95,0.4007,0.0889,0
380128 (1997 WB21),,,14.39,20.27,2459800.5,0.3172,1.46,0.997,3.39,280.97,81.94,27.3,1.92,0.5589,0.0511,0
380160 (2000 JO78),,,137.239,17.75,2459800.5,0.4369,2.152,1.212,7.33,310.53,350.03,341.84,3.09,0.3121,0.198,0
380188 (2000 WC67),1.312,0.037,,18.87,2459800.5,0.582,2.675,1.118,9.93,249.75,251.65,309.89,4.23,0.2253,0.213,0
380205 (2001 CA32),,,,19.38,2459800.5,0.4677,2.221,1.182,21.41,353.31,124.71,183.69,3.26,0.2977,0.301,0
380321 (2002 HF8),,,,18.27,2459800.5,0.4904,2.319,1.181,4.77,48.67,261.75,229.49,3.46,0.2792,0.189,0
380359 (2002 TN30),,,13.44,17.28,2459800.5,0.4475,2.333,1.289,19.85,20.58,91.75,161.84,3.38,0.2766,0.49,0
380455 (2003 UL3),,,,17.78,2459800.5,0.7959,2.252,0.46,14.56,153.06,13.32,177.72,4.05,0.2916,0.229,0
380476 (2003 YO1),,,,19.44,2459800.5,0.3992,1.158,0.696,14.26,65.15,161.42,230.49,1.62,0.7912,0.228,0
380524 (2004 GY),,,,20.18,2459800.5,0.218,1.448,1.132,23.44,50.86,182.9,168.65,1.76,0.5656,0.123,0
380818 (2005 YV128),,,,20.67,2459800.5,0.5124,0.923,0.45,14.14,127.72,191.81,341.13,1.4,1.111,0.155,0
380929 (2006 HU30),,,49,19.57,2459800.5,0.4199,1.455,0.844,24.01,44.63,274.31,37.95,2.07,0.5616,0.118,0
381181 (2007 LV19),0.602,0.064,,19.76,2459800.5,0.3206,1.472,1,14.89,264.03,301.36,200.28,1.94,0.5521,0.0881,0
381564 (2008 UW5),,,,18.28,2459800.5,0.3897,1.832,1.118,9.42,297.92,204.42,128.98,2.55,0.3976,0.145,0
381677 (2009 BJ81),0.472,0.346,325,18.33,2459800.5,0.4551,1.851,1.009,5.84,108.68,90.3,118.48,2.69,0.3913,0.0992,0
381989 (2010 HR80),0.783,0.02,,19.87,2459800.5,0.4956,1.348,0.68,26.72,6.22,291.33,256.04,2.02,0.6301,0.104,0
382459 (2000 ST20),,,,19.49,2459800.5,0.3102,1.875,1.293,16.84,343.3,72.6,157.9,2.46,0.3839,0.409,0
382503 (2001 RE8),,,61.1,19.21,2459800.5,0.2329,1.537,1.179,14.04,263.8,4.76,45.09,1.89,0.5175,0.163,0
382625 (2002 PC130),,,,18.38,2459800.5,0.4815,2.344,1.215,19.51,312.01,80.83,177.29,3.47,0.2746,0.397,0
382875 (2004 KE1),,,,21.71,2459800.5,0.1808,1.299,1.064,2.88,42.76,283.7,41.21,1.53,0.666,0.0727,0
383610 (2007 JJ35),,,,18.46,2459800.5,0.3046,1.774,1.233,56.07,230.6,324.13,178.54,2.31,0.4172,0.277,0
385268 (2001 RC12),3.2,0.08,,15.94,2459800.5,0.6426,3.213,1.148,27.41,208.91,185.48,218.15,5.28,0.1711,0.156,0
385402 (2002 WZ2),1.597,0.11,,17.17,2459800.5,0.8846,2.461,0.284,51.31,261.31,48.19,50.06,4.64,0.2553,0.13,0
385423 (2003 DE6),,,,19.26,2459800.5,0.329,1.699,1.14,23.2,160.11,68.73,236.95,2.26,0.445,0.292,0
385497 (2004 DD),,,,18.94,2459800.5,0.4593,1.589,0.859,11.58,3.69,8.57,174.41,2.32,0.4921,0.131,0
385580 (2004 XO14),,,8.4172,16.2,2459800.5,0.5539,2.671,1.192,25.93,129.48,276.2,34.01,4.15,0.2257,0.47,0
385843 (2006 JY25),,,7.8,20.51,2459800.5,0.4792,1.126,0.587,6.87,63.96,321.65,102.09,1.67,0.8246,0.067,0
386259 (2008 EJ1),,,,15.72,2459800.5,0.5295,2.084,0.98,38.8,337.37,78.91,12.8,3.19,0.3277,0.275,0
386281 (2008 RJ1),,,,17.89,2459800.5,0.4708,2.168,1.147,16.27,191.61,54.77,189.59,3.19,0.3088,0.232,0
386298 (2008 SR7),,,,20.08,2459800.5,0.1925,1.322,1.068,15.31,324.54,296.89,123.77,1.58,0.6481,0.135,0
386504 (2009 BP58),,,,18.71,2459800.5,0.555,1.445,0.643,12.57,83.57,194.04,206.76,2.25,0.5674,0.207,0
386720 (2009 XC2),0.964,0.244,,17.09,2459800.5,0.5825,2.646,1.105,25.78,104.15,93.31,318.34,4.19,0.229,0.394,0
387648 (2002 RT25),,,,19.36,2459800.5,0.4375,1.934,1.088,28.88,165.25,258.95,108.76,2.78,0.3666,0.331,0
387717 (2003 DN4),,,,19.3,2459800.5,0.477,1.145,0.599,36.32,157.79,141.61,219.03,1.69,0.8044,0.289,0
387733 (2003 GS),0.344,0.411,2.467,18.98,2459800.5,0.2183,0.8928,0.698,12.03,196.22,181.85,139.84,1.09,1.168,0.0876,0
387793 (2003 WL25),,,,16.7,2459800.5,0.7418,2.395,0.618,23.76,267.1,25.04,56.73,4.17,0.266,0.304,0
387816 (2004 FM17),,,,19.54,2459800.5,0.25,0.8853,0.664,6.76,169.77,196.53,216.01,1.11,1.183,0.0603,0
387871 (2004 RD252),,,,19.14,2459800.5,0.5999,2.102,0.841,10.39,288.09,174.69,288.03,3.36,0.3235,0.117,0
388185 (2006 CX10),2.75,0.019,,17.8,2459800.5,0.5123,2.568,1.252,27.09,32.16,189.69,349.75,3.88,0.2396,0.251,0
388189 (2006 DS14),0.315,0.123,,20.55,2459800.5,0.3366,0.8638,0.573,26.54,162.25,187.51,338.65,1.15,1.228,0.157,0
388468 (2007 DB83),,,5.41403,18.29,2459800.5,0.3005,1.75,1.224,10.91,55.21,162.35,208.6,2.28,0.4257,0.221,0
388567 (2007 QX14),,,,18.08,2459800.5,0.4617,2.348,1.264,5.22,20.44,250.54,80.74,3.43,0.2739,0.266,0
388798 (2008 BU2),,,,18.45,2459800.5,0.7246,1.307,0.36,38.41,115.3,212.87,7.6,2.25,0.6596,0.252,0
388838 (2008 EZ5),0.378,0.196,2.859,19.51,2459800.5,0.5081,2.088,1.027,8.02,15.15,228.02,262.36,3.15,0.3266,0.0779,0
390522 (1996 GD1),,,,20.23,2459800.5,0.3527,1.186,0.768,18.39,38.08,293.64,53.73,1.6,0.7632,0.0595,0
390536 (1999 KK1),,,,18.42,2459800.5,0.4609,2.116,1.141,7.1,76.73,230.05,162.3,3.09,0.3202,0.156,0
391033 (2005 TR15),,,850,19.09,2459800.5,0.4335,2.116,1.199,3.92,214.07,59.44,228.23,3.03,0.3201,0.194,0
391151 (2005 YY93),1.745,0.084,,17.23,2459800.5,0.8828,2.581,0.302,24.16,296.7,311.72,340.5,4.86,0.2377,0.0895,0
391275 (2006 SJ134),,,,17.95,2459800.5,0.4776,2.203,1.151,26.11,129.68,303.31,287.27,3.26,0.3014,0.298,0
391449 (2007 FL1),,,,18.7,2459800.5,0.5033,2.355,1.17,28.66,72.15,173,76.78,3.54,0.2728,0.158,0
391451 (2007 FE20),,,,19.29,2459800.5,0.2733,1.753,1.274,7.61,282.24,279.59,217.37,2.23,0.4246,0.308,0
391508 (2007 RV17),,,,19.11,2459800.5,0.6839,2.116,0.669,11.11,146.76,321.77,281.07,3.56,0.3202,0.119,0
392211 (2009 TG10),,,13.87,17.54,2459800.5,0.4233,1.974,1.139,40.85,210.66,12.18,357.39,2.81,0.3552,0.141,0
392476 (2011 GD3),,,,19.11,2459800.5,0.6604,1.336,0.454,13.69,39.28,357.49,211.92,2.22,0.6382,0.218,0
392704 (2012 AE1),,,,19.02,2459800.5,0.4726,1.508,0.795,10.05,16.81,356.55,299.85,2.22,0.5322,0.145,0
393359 (1998 ME3),0.774,0.062,,19.44,2459800.5,0.4831,2.177,1.125,6,129.5,165.37,174.7,3.23,0.3068,0.112,0
393569 (2003 JC13),0.551,0.048,,20.3,2459800.5,0.3153,1.066,0.73,8.51,205.81,172.01,54.67,1.4,0.8951,0.143,0
393908 (2005 UH3),,,,17.51,2459800.5,0.5462,1.727,0.784,44.77,53.32,309.17,158.13,2.67,0.4344,0.0794,0
394130 (2006 HY51),1.218,0.157,,17.24,2459800.5,0.9686,2.588,0.081,33.59,40.58,341.99,304.1,5.1,0.2367,0.112,0
394155 (2006 QS),,,,20.05,2459800.5,0.5114,2.548,1.245,4.59,164.35,143.03,339.7,3.85,0.2424,0.236,0
394392 (2007 EP88),0.636,0.174,,18.44,2459800.5,0.8859,0.8373,0.096,20.75,328.52,47.09,152.66,1.58,1.286,0.142,0
394783 (2008 HD3),,,,19.8,2459800.5,0.336,1.131,0.751,52.01,222.07,223.75,59.81,1.51,0.819,0.179,0
395143 (2010 CN1),0.636,0.124,,18.96,2459800.5,0.4391,1.499,0.841,20.97,216.43,192.47,325.99,2.16,0.537,0.144,0
395289 (2011 BJ2),,,7.03,18.2,2459800.5,0.3472,1.29,0.842,49.9,33.99,84.12,281.44,1.74,0.6724,0.0941,0
396593 (2001 HC),,,3.1881,19.08,2459800.5,0.4994,0.8746,0.438,23.74,32.59,28.18,126.95,1.31,1.205,0.105,0
396730 (2003 KX16),,,,18.51,2459800.5,0.5789,1.334,0.562,23.62,94.28,28.33,218.6,2.11,0.6394,0.3,0
396793 (2004 JN2),,,,20.18,2459800.5,0.6084,1.068,0.418,19.76,228.33,179.93,11.29,1.72,0.8933,0.286,0
396794 (2004 KT),,,,17.75,2459800.5,0.6644,1.854,0.622,43.63,267.93,238.48,111.4,3.09,0.3904,0.185,0
397237 (2006 KZ112),1.18,0.269,,16.75,2459800.5,0.8872,2.523,0.284,37.84,166.31,358.2,28.27,4.76,0.246,0.53,0
397326 (2006 TC1),,,,19.04,2459800.5,0.3749,1.72,1.076,4.49,326.06,160.89,299.28,2.37,0.4368,0.0948,0
397471 (2007 LV),,,,18.16,2459800.5,0.2709,1.763,1.285,17,70.28,262.09,137.8,2.24,0.4211,0.407,0
397474 (2007 PP6),,,,17.26,2459800.5,0.8352,2.166,0.357,18.54,77.15,13,220.03,3.97,0.3093,0.255,0
397847 (2008 TA1),,,,18.78,2459800.5,0.4487,1.396,0.77,14.84,22.01,145.68,22.04,2.02,0.5974,0.145,0
399307 (1991 RJ2),,,3.4807,18.9,2459800.5,0.4275,2.21,1.265,8.95,171.77,150.99,157.22,3.15,0.3001,0.265,0
399308 (1993 GD),,,,20.66,2459800.5,0.2381,1.102,0.84,15.46,201.43,202.08,259.62,1.36,0.8516,0.141,0
399325 (1999 GY5),0.669,0.039,,20.19,2459800.5,0.6146,1.146,0.442,24.43,203.38,232.22,54.13,1.85,0.8029,0.0643,0
399433 (2001 YK4),1.339,0.021,,18.58,2459800.5,0.7771,2.655,0.592,4.38,155.71,210.81,290.53,4.72,0.2279,0.0646,0
399446 (2002 GF1),,,,20.67,2459800.5,0.4017,2.068,1.237,1.82,66.75,154.6,291.44,2.9,0.3315,0.23,0
399611 (2004 BE11),,,,19.28,2459800.5,0.1659,1.252,1.044,15.25,138.27,37.95,32.93,1.46,0.7037,0.086,0
401857 (2000 PG3),4.2,0.046,,16.12,2459800.5,0.8552,2.825,0.409,22.03,323.58,141.22,199.42,5.24,0.2076,0.212,0
401885 (2001 RV17),,,,20.49,2459800.5,0.3424,0.9147,0.602,7.53,153.86,4.61,175.45,1.23,1.127,0.0975,0
401925 (2002 AT15),0.475,0.342,,18.46,2459800.5,0.4755,1.894,0.993,36.38,108.42,266.48,352.63,2.79,0.3781,0.311,0
401998 (2003 MO),,,50,18.38,2459800.5,0.876,1.969,0.244,21.46,240.07,164.64,316.24,3.69,0.3567,0.218,0
402267 (2005 QE166),,,,17.11,2459800.5,0.5294,2.748,1.293,12.96,188.85,234.35,236.34,4.2,0.2163,0.358,0
